,name,type,latitude_deg,longitude_deg,iso_country,iso_region,municipality,icao_code,iata_code,municipality_iso_country
711,Columbia Regional Airport,medium_airport,38.8181,-92.219597,US,US-MO,Columbia,KCOU,COU,"Columbia,US"
712,Jim Hamilton L.B. Owens Airport,medium_airport,33.970500946,-80.9952011108,US,US-SC,Columbia,KCUB,CUB,"Columbia,US"
713,Caribou Municipal Airport,medium_airport,46.8714981079,-68.0178985596,US,US-ME,Caribou,KCAR,CAR,"Caribou,US"
714,Northeast Iowa Regional Airport,medium_airport,43.0726013184,-92.6108016968,US,US-IA,Charles City,KCCY,CCY,"Charles City,US"
715,Cedar City Regional Airport,medium_airport,37.70100021362305,-113.0989990234375,US,US-UT,Cedar City,KCDC,CDC,"Cedar City,US"
716,Chadron Municipal Airport,medium_airport,42.837600708,-103.095001221,US,US-NE,Chadron,KCDR,CDR,"Chadron,US"
717,Childress Municipal Airport,medium_airport,34.4337997437,-100.288002014,US,US-TX,Childress,KCDS,CDS,"Childress,US"
718,Jack Mc Namara Field Airport,medium_airport,41.78020096,-124.2369995,US,US-CA,Crescent City,KCEC,CEC,"Crescent City,US"
719,Bob Sikes Airport,medium_airport,30.778799057,-86.522102356,US,US-FL,Crestview,KCEW,CEW,"Crestview,US"
720,Duke Field,medium_airport,30.65040016,-86.52290344,US,US-FL,Crestview,KEGI,EGI,"Crestview,US"
721,Cape Girardeau Regional Airport,medium_airport,37.2253,-89.570801,US,US-MO,Cape Girardeau,KCGI,CGI,"Cape Girardeau,US"
722,Chattanooga Metropolitan Airport (Lovell Field),large_airport,35.035301,-85.203796,US,US-TN,Chattanooga,KCHA,CHA,"Chattanooga,US"
723,Charlottesville Albemarle Airport,medium_airport,38.13859939575195,-78.4529037475586,US,US-VA,Charlottesville,KCHO,CHO,"Charlottesville,US"
724,Charleston International Airport,large_airport,32.898602,-80.040497,US,US-SC,Charleston,KCHS,CHS,"Charleston,US"
725,Yeager Airport,large_airport,38.37310028076172,-81.59320068359375,US,US-WV,Charleston,KCRW,CRW,"Charleston,US"
726,The Eastern Iowa Airport,large_airport,41.884701,-91.7108,US,US-IA,Cedar Rapids,KCID,CID,"Cedar Rapids,US"
727,North Central West Virginia Airport,medium_airport,39.2966003418,-80.2281036377,US,US-WV,Clarksburg,KCKB,CKB,"Clarksburg,US"
728,Easterwood Field,medium_airport,30.58860016,-96.36380005,US,US-TX,College Station,KCLL,CLL,"College Station,US"
729,William R Fairchild International Airport,medium_airport,48.12020111083984,-123.5,US,US-WA,Port Angeles,KCLM,CLM,"Port Angeles,US"
730,Charlotte Douglas International Airport,large_airport,35.2140007019043,-80.94309997558594,US,US-NC,Charlotte,KCLT,CLT,"Charlotte,US"
731,Cavern City Air Terminal,medium_airport,32.337501525878906,-104.26300048828124,US,US-NM,Carlsbad,KCNM,CNM,"Carlsbad,US"
732,McClellan-Palomar Airport,medium_airport,33.1283,-117.279999,US,US-CA,Carlsbad,KCRQ,CLD,"Carlsbad,US"
733,Chanute Martin Johnson Airport,medium_airport,37.668173,-95.486727,US,US-KS,Chanute,KCNU,CNU,"Chanute,US"
734,Yellowstone Regional Airport,medium_airport,44.520198822,-109.024002075,US,US-WY,Cody,KCOD,COD,"Cody,US"
735,Coeur D'Alene - Pappy Boyington Field,medium_airport,47.77429962,-116.8199997,US,US-ID,Coeur d'Alene,KCOE,COE,"Coeur d'Alene,US"
736,Patrick Air Force Base,medium_airport,28.2348995209,-80.6100997925,US,US-FL,Cocoa Beach,KCOF,COF,"Cocoa Beach,US"
737,Concord Municipal Airport,medium_airport,43.20270157,-71.50229645,US,US-NH,Concord,KCON,CON,"Concord,US"
738,Concord-Padgett Regional Airport,medium_airport,35.387798,-80.709099,US,US-NC,Concord,KJQF,USA,"Concord,US"
739,City of Colorado Springs Municipal Airport,large_airport,38.805801,-104.700996,US,US-CO,Colorado Springs,KCOS,COS,"Colorado Springs,US"
740,Wendell H Ford Airport,medium_airport,37.386666,-83.261666,US,US-KY,Hazard,KCPF,CPF,"Hazard,US"
741,Casper-Natrona County International Airport,medium_airport,42.908001,-106.463997,US,US-WY,Casper,KCPR,CPR,"Casper,US"
742,Grand Strand Airport,medium_airport,33.8116989136,-78.72389984130001,US,US-SC,North Myrtle Beach,KCRE,CRE,"North Myrtle Beach,US"
743,Jacksonville Executive at Craig Airport,medium_airport,30.3362998962,-81.51439666750001,US,US-FL,Jacksonville,KCRG,CRG,"Jacksonville,US"
744,Jacksonville International Airport,large_airport,30.49410057067871,-81.68789672851562,US,US-FL,Jacksonville,KJAX,JAX,"Jacksonville,US"
745,Little Rock Air Force Base,medium_airport,34.916900634799994,-92.14969635010002,US,US-AR,Jacksonville,KLRF,LRF,"Jacksonville,US"
746,Jacksonville Naval Air Station (Towers Field),medium_airport,30.2358,-81.680603,US,US-FL,Jacksonville,KNIP,NIP,"Jacksonville,US"
747,Corpus Christi International Airport,large_airport,27.77039909362793,-97.5011978149414,US,US-TX,Corpus Christi,KCRP,CRP,"Corpus Christi,US"
748,Crossville Memorial Whitson Field,medium_airport,35.9513015747,-85.08499908450001,US,US-TN,Crossville,KCSV,CSV,"Crossville,US"
749,Corvallis Municipal Airport,medium_airport,44.49720001,-123.2900009,US,US-OR,Corvallis,KCVO,CVO,"Corvallis,US"
750,Cannon Air Force Base,medium_airport,34.382801,-103.321999,US,US-NM,Clovis,KCVS,CVS,"Clovis,US"
751,Conroe-North Houston Regional Airport,medium_airport,30.351801,-95.414497,US,US-TX,Houston,KCXO,CXO,"Houston,US"
752,Ellington Airport,medium_airport,29.6072998047,-95.1587982178,US,US-TX,Houston,KEFD,EFD,"Houston,US"
753,William P Hobby Airport,large_airport,29.64539909,-95.27890015,US,US-TX,Houston,KHOU,HOU,"Houston,US"
754,George Bush Intercontinental Houston Airport,large_airport,29.984399795532227,-95.34140014648438,US,US-TX,Houston,KIAH,IAH,"Houston,US"
755,Sugar Land Regional Airport,medium_airport,29.622299194336,-95.65650177002,US,US-TX,Houston,KSGR,SGR,"Houston,US"
756,Cheyenne Regional Jerry Olson Field,medium_airport,41.15570068,-104.8119965,US,US-WY,Cheyenne,KCYS,CYS,"Cheyenne,US"
757,Davison Army Air Field,medium_airport,38.715000152600005,-77.1809997559,US,US-VA,Fort Belvoir,KDAA,DAA,"Fort Belvoir,US"
758,Daytona Beach International Airport,medium_airport,29.179899,-81.058098,US,US-FL,Daytona Beach,KDAB,DAB,"Daytona Beach,US"
759,Dallas Love Field,large_airport,32.847099,-96.851799,US,US-TX,Dallas,KDAL,DAL,"Dallas,US"
760,Danville Regional Airport,medium_airport,36.572898864746094,-79.33609771728516,US,US-VA,Danville,KDAN,DAN,"Danville,US"
761,James M Cox Dayton International Airport,large_airport,39.90240097045898,-84.21939849853516,US,US-OH,Dayton,KDAY,DAY,"Dayton,US"
762,Wright-Patterson Air Force Base,large_airport,39.8260993958,-84.0483016968,US,US-OH,Dayton,KFFO,FFO,"Dayton,US"
763,Dubuque Regional Airport,medium_airport,42.402,-90.709503,US,US-IA,Dubuque,KDBQ,DBQ,"Dubuque,US"
764,Ronald Reagan Washington National Airport,large_airport,38.8521,-77.037697,US,US-DC,Washington,KDCA,DCA,"Washington,US"
765,Washington Dulles International Airport,large_airport,38.9445,-77.455803,US,US-DC,Washington,KIAD,IAD,"Washington,US"
766,Dodge City Regional Airport,medium_airport,37.76340103149414,-99.9655990600586,US,US-KS,Dodge City,KDDC,DDC,"Dodge City,US"
767,Decatur Airport,medium_airport,39.834598541259766,-88.8656997680664,US,US-IL,Decatur,KDEC,DEC,"Decatur,US"
768,Coleman A. Young Municipal Airport,medium_airport,42.40919876,-83.00990295,US,US-MI,Detroit,KDET,DET,"Detroit,US"
